timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_base,taker_quote,ignore,symbol
2022-01-20,41660.0,43505.0,40553.31,40680.91,42330.33953,1642723199999,1784801200.40448700,1098761,20201.47991000,852629490.27878640,0,BTC
2022-01-21,40680.92,41100.0,35440.45,36445.31,88860.891999,1642809599999,3405501703.22193692,2092561,41615.08581900,1595831787.70003189,0,BTC
2022-01-22,36445.31,36835.22,34008.0,35071.42,90471.338961,1642895999999,3207531048.03065140,2099978,42722.27823300,1514027491.32039380,0,BTC
2022-01-23,35071.42,36499.0,34601.01,36244.55,44279.52354,1642982399999,1572414639.04287740,1142407,22841.39451000,811501507.03630610,0,BTC
2022-01-24,36244.55,37550.0,32917.17,36660.35,91904.753211,1643068799999,3192041586.10318994,1999352,46469.27293800,1615890700.84249996,0,BTC
2022-01-25,36660.35,37545.14,35701.0,36958.32,49232.40183,1643155199999,1799224214.49973920,1248246,24988.42876000,913198135.60368310,0,BTC
2022-01-26,36958.32,38919.98,36234.63,36809.34,69830.16036,1643241599999,2627491976.69085740,1584468,35240.31542000,1326474948.46322410,0,BTC
2022-01-27,36807.24,37234.47,35507.01,37160.1,53020.87934,1643327999999,1925920128.34366030,1308408,26750.94594000,971815942.27075550,0,BTC
2022-01-28,37160.11,38000.0,36155.01,37716.56,42154.26956,1643414399999,1560203931.22012810,1061101,21496.47551000,795847847.51234220,0,BTC
2022-01-29,37716.57,38720.74,37268.44,38166.84,26129.49682,1643500799999,989652386.99664940,816601,13292.42156000,503624477.65945300,0,BTC
2022-01-30,38166.83,38359.26,37351.63,37881.76,21430.66527,1643587199999,812750216.60103190,698593,10798.38460000,409620744.01694440,0,BTC
2022-01-31,37881.75,38744.0,36632.61,38466.9,36855.2458,1643673599999,1386754529.02954460,936014,18422.26954000,693360023.33165190,0,BTC
2022-02-01,38466.9,39265.2,38000.0,38694.59,34574.44663,1643759999999,1334266166.70999890,917617,17730.99304000,684446571.17936590,0,BTC
2022-02-02,38694.59,38855.92,36586.95,36896.36,35794.6813,1643846399999,1353093948.97760130,907905,17251.43687000,652533107.69991750,0,BTC
2022-02-03,36896.37,37387.0,36250.0,37311.61,32081.10999,1643932799999,1179502838.65662640,848961,16468.10233000,605530493.58165880,0,BTC
2022-02-04,37311.98,41772.33,37026.73,41574.25,64703.95874,1644019199999,2526572562.05828510,1380724,33053.66668000,1291953441.55899960,0,BTC
2022-02-05,41571.7,41913.69,40843.01,41382.59,32532.34372,1644105599999,1349805515.93003650,1006352,16566.08602000,687352854.82541980,0,BTC
2022-02-06,41382.6,42656.0,41116.56,42380.87,22405.16704,1644191999999,934168802.88011520,788291,11546.39088000,481652514.37183210,0,BTC
2022-02-07,42380.87,44500.5,41645.85,43839.99,51060.62006,1644278399999,2204523609.90339610,1473274,25457.79986000,1099936959.03964570,0,BTC
2022-02-08,43839.99,45492.0,42666.0,44042.99,64880.29387,1644364799999,2847485971.49773380,1653350,33004.09337000,1448178622.46600310,0,BTC
2022-02-09,44043.0,44799.0,43117.92,44372.72,34428.16729,1644451199999,1512500139.14309950,1066395,17115.60108000,752210712.41184210,0,BTC
2022-02-10,44372.71,45821.0,43174.01,43495.44,62357.29091,1644537599999,2772188373.22278300,1541483,30323.12245000,1348871895.86772030,0,BTC
2022-02-11,43495.44,43920.0,41938.51,42373.73,44975.1687,1644623999999,1937866768.50595330,1169354,22063.76915000,950913914.02964280,0,BTC
2022-02-12,42373.73,43079.49,41688.88,42217.87,26556.85681,1644710399999,1123136004.72372450,830322,12814.60322000,542061655.42919370,0,BTC
2022-02-13,42217.87,42760.0,41870.0,42053.66,17732.08113,1644796799999,750533311.65295650,624898,8333.13302000,352741586.05972970,0,BTC
