timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_base,taker_quote,ignore,symbol
2022-01-20,135.23,143.83,126.01,127.54,1464593.98,1642723199999,200702305.01300000,345417,731310.23000000,100360744.25440000,0,SOL
2022-01-21,127.54,128.73,106.11,112.27,4523020.69,1642809599999,544063534.41050000,939567,2184275.76000000,262870033.23350000,0,SOL
2022-01-22,112.24,114.89,87.73,94.54,6455608.98,1642895999999,635108263.42860000,1002353,3143606.01000000,308952787.29150000,0,SOL
2022-01-23,94.57,104.82,93.25,99.78,3561751.04,1642982399999,351997642.88360000,592647,1815827.00000000,179513410.61140000,0,SOL
2022-01-24,99.74,99.83,80.83,91.93,6990036.71,1643068799999,615205074.60800000,1012868,3409943.38000000,299702337.35510000,0,SOL
2022-01-25,91.94,99.95,87.41,94.67,3482711.32,1643155199999,324014683.73600000,566575,1745302.72000000,162439606.67280000,0,SOL
2022-01-26,94.65,104.43,89.19,92.12,4501340.69,1643241599999,434996978.69070000,713943,2255753.00000000,217969271.56690000,0,SOL
2022-01-27,92.11,94.6,85.71,89.51,3530017.76,1643327999999,317470432.09290000,538274,1835683.58000000,165086278.14460000,0,SOL
2022-01-28,89.51,93.55,87.21,91.34,2647317.17,1643414399999,240233251.68560000,388770,1362062.51000000,123682706.75540000,0,SOL
2022-01-29,91.35,98.93,90.5,96.13,2050891.76,1643500799999,194994553.82940000,331238,1077225.35000000,102415973.06330000,0,SOL
2022-01-30,96.15,97.6,91.38,93.29,1258037.51,1643587199999,118979094.23970000,221424,617532.34000000,58405719.68440000,0,SOL
2022-01-31,93.26,101.4,89.18,99.49,2414101.55,1643673599999,229303857.83700000,373958,1257071.83000000,119365613.78570000,0,SOL
2022-02-01,99.5,113.66,99.02,110.02,4190507.65,1643759999999,451677238.58920000,732735,2181320.44000000,235027830.30060000,0,SOL
2022-02-02,109.99,112.35,96.99,101.88,4863358.1,1643846399999,514972931.54110000,757019,2472488.32000000,261826718.25030000,0,SOL
2022-02-03,101.91,103.13,94.0,101.77,3886563.56,1643932799999,380416658.21750000,597409,2008174.48000000,196631906.84340000,0,SOL
2022-02-04,101.83,112.81,100.28,112.62,4186388.28,1644019199999,446505812.57730000,668682,2157936.43000000,230203845.83200000,0,SOL
2022-02-05,112.63,118.6,110.22,113.75,2649019.14,1644105599999,302738096.09850000,507784,1335840.50000000,152742158.90090000,0,SOL
2022-02-06,113.74,116.06,111.09,115.28,1561795.12,1644191999999,177818919.26750000,299806,789970.50000000,89972768.01860000,0,SOL
2022-02-07,115.26,121.93,112.69,117.55,2730695.8,1644278399999,323264554.64530000,547477,1407980.10000000,166687995.16650000,0,SOL
2022-02-08,117.57,120.36,109.66,113.45,2811497.5,1644364799999,321854907.03260000,525305,1374047.33000000,157341837.50280000,0,SOL
2022-02-09,113.44,117.08,109.4,113.93,2114411.38,1644451199999,240051448.33350000,366554,1062788.31000000,120689587.73920000,0,SOL
2022-02-10,113.96,115.38,105.68,106.17,2781581.77,1644537599999,308218719.27830000,502177,1374188.86000000,152383952.06500000,0,SOL
2022-02-11,106.18,108.14,95.14,96.53,2537227.68,1644623999999,261118404.06180000,450793,1266683.23000000,130430706.91680000,0,SOL
2022-02-12,96.53,99.79,92.8,95.96,1803930.67,1644710399999,173107556.45310000,316001,904645.51000000,86851077.75790000,0,SOL
2022-02-13,95.98,97.36,91.35,92.85,1216083.38,1644796799999,115326539.35910000,209303,631473.42000000,59929161.74210000,0,SOL
2022-02-14,92.85,97.99,90.72,96.37,1792721.3,1644883199999,169748618.50190000,307476,917531.49000000,86918621.94310000,0,SOL
2022-02-15,96.39,105.77,96.38,105.52,2362223.45,1644969599999,240632353.71540000,372791,1215093.32000000,123809188.48140000,0,SOL
2022-02-16,105.52,105.6,98.27,101.86,2123159.11,1645055999999,215708905.36560000,326351,1074793.49000000,109218196.30380000,0,SOL
2022-02-17,101.85,102.82,92.33,93.52,2001081.3,1645142399999,194565671.92560000,307937,965733.26000000,93944705.81720000,0,SOL
2022-02-18,93.55,96.37,89.31,89.86,2010076.65,1645228799999,186100175.10810000,299519,969097.49000000,89702125.85020000,0,SOL
2022-02-19,89.86,92.75,88.6,91.27,1285578.14,1645315199999,116505357.57010000,205722,635054.20000000,57583342.86360000,0,SOL
2022-02-20,91.27,94.5,85.56,90.72,2559473.54,1645401599999,229568085.46210000,403374,1258935.71000000,113062278.77830000,0,SOL
2022-02-21,90.7,96.14,82.62,82.96,4063082.8,1645487999999,365437826.78670000,573189,2026196.08000000,182268037.27800000,0,SOL
2022-02-22,82.95,87.56,81.06,86.38,2835554.36,1645574399999,238850054.32760000,361422,1449002.18000000,122094300.61830000,0,SOL
2022-02-23,86.39,93.4,84.38,84.59,3193694.1,1645660799999,284825279.11370000,446087,1581179.05000000,141085328.79010000,0,SOL
2022-02-24,84.58,93.9,75.35,89.36,7497540.08,1645747199999,625458651.95770000,1032742,3780420.76000000,316003413.54440000,0,SOL
2022-02-25,89.35,95.0,86.86,92.71,3691896.58,1645833599999,332795301.06720000,532273,1857528.50000000,167507861.07060000,0,SOL
2022-02-26,92.73,95.49,89.23,90.23,2279602.17,1645919999999,209017446.49430000,347752,1113558.58000000,102126486.50630000,0,SOL
2022-02-27,90.25,92.19,84.08,85.63,2593533.97,1646006399999,228781062.13150000,396197,1257121.49000000,110943166.77230000,0,SOL
2022-02-28,85.61,103.0,84.17,99.68,4212075.57,1646092799999,392961670.09730000,666863,2137538.42000000,199549660.32660000,0,SOL
2022-03-01,99.67,102.03,94.21,98.66,3665336.76,1646179199999,359368373.97610000,572030,1837769.13000000,180263667.61860000,0,SOL
